real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.016,655.4330666666666,664314,664314.0,0.0,2.0653333333333337
0.746,657.6307249999999,664314,664313.9999999999,0.0,1.5542500000000001
3.77,658.96824,664314,664314.0000000001,0.0,1.2431999999999999
5.019,659.8584833333334,664314,664314.0000000001,0.0,1.0361666666666665
5.125,657.8818142857143,664314,664314.0000000001,0.0,1.4958571428571428
5.782,658.6358500000001,664314,664314.0000000001,0.0,1.3205
9.421,628.811088888889,664314,664314.0000000001,30455.66666666667,1.1737777777777778
9.677,597.7000806613621,390213,657062.800661362,54820.2,1.0564
10.493,560.6724983703422,664314,657626.6983703421,92824.63636363637,0.9603636363636362
40.172,224.3378303826878,191445,313212.51371602115,85089.25,0.8803333333333333
46.863,213.78896724872342,191445,295826.80571026186,78543.92307692308,0.8125384615384618
49.423,214.24207059509598,191445,290420.06345223886,72933.64285714287,0.7544999999999996
89.424,175.04752376140635,191445,246146.6970947397,68071.40000000001,0.7041333333333332
129.425,162.58526868891252,191445,229240.2061889125,63816.9375,0.6600000000000001
159.425,159.39398687821122,191445,222128.04570174063,60063.0,0.6211764705882354
189.426,158.01991743354483,191445,217268.51187798928,56726.166666666664,0.5866111111111125
219.427,157.60756327475414,191445,213737.81064317518,53740.57894736841,0.5557368421052644
249.428,157.7329292398608,191445,211056.44923986078,51053.549999999996,0.5278999999999996
279.429,158.16675859377517,191445,208950.85859377516,48622.42857142857,0.5027142857142864
319.43,158.28313035833716,191445,206758.6667219735,46412.31818181818,0.47981818181818103
359.431,158.68688155527943,191445,205054.41199006204,44394.39130434783,0.45886956521739264
389.432,159.57042229041272,191445,204005.9722904127,42544.62499999999,0.43974999999999886
419.432,157.26661696795668,191445,203107.54496795667,44025.64000000001,0.4221599999999989
427.906,157.22301365494005,111875,201300.82903955542,42332.346153846156,0.4059230769230781
459.433,152.71930574733378,111875,195164.29093251898,40764.48148148148,0.3908148148148156
469.521,152.4458206845533,111875,193374.75997026757,39308.60714285714,0.37682142857142814
469.884,153.79316438887778,111875,193311.7988716364,37953.137931034486,0.3640689655172411
469.884,153.74262220496973,111875,193311.7988716364,36688.03333333334,0.6700333333333333
469.884,154.6460569361525,111875,193311.7988716364,35504.54838709678,0.7351612903225813
469.884,154.8718113716364,111875,193311.7988716364,34395.03125,0.9406874999999991
469.983,155.3464899970076,111875,193294.64454246216,33352.75757575758,1.0686969696969695
470.686,156.33506256392735,111875,193173.0390345156,32371.79411764706,1.03864705882353
474.672,156.70500870605386,111875,192490.34870605386,31446.885714285716,1.008942857142857
479.884,156.82336656215065,111875,191614.78878437288,30573.361111111113,0.9809444444444435
479.884,157.20723202761613,111875,191614.78878437288,29747.054054054057,1.083837837837837
479.884,155.15044667910976,111875,191614.78878437288,28964.236842105263,1.7442105263157885
479.987,155.66919031177818,111875,191597.67749126538,28221.5641025641,1.792307692307693
480.036,156.5538897449358,111875,191589.53974493578,27516.025,1.7487499999999996
480.683,157.30070239792434,111875,191482.24386133897,26844.90243902439,1.706195121951221
490.035,156.59560317273252,111875,189962.99126797065,26205.738095238095,1.665499999999999
499.425,155.9034080583601,111875,188494.8103839415,25596.302325581393,1.6267674418604643
499.425,156.58450811121426,111875,188494.8103839415,25014.56818181818,1.6036590909090904
499.425,154.4269592728304,111875,188494.8103839415,24458.688888888886,2.234688888888888
499.425,155.1491495143763,111875,188494.8103839415,23926.978260869564,2.190391304347826
499.522,155.64650212967854,111875,188479.93191691258,23417.893617021273,2.189659574468086
500.218,156.21910682387474,111875,188373.34432387477,22930.020833333336,2.145166666666667
507.022,155.8490944845126,111875,187346.77203553298,22462.061224489797,2.1013061224489795
518.314,154.83473237971575,111875,185702.54237971577,22012.82,2.059300000000001
518.314,154.7058639483432,111875,185702.54237971577,21581.19607843137,2.18964705882353
518.407,154.26009995724704,111875,185689.2980341701,21166.173076923074,2.3867499999999997
519.102,154.7498151166205,111875,185590.4717203941,20766.81132075472,2.342754716981133
525.823,154.37895587172662,111875,184648.25031617106,20382.24074074074,2.299314814814815
549.873,151.74647413477794,111875,181465.33958932338,20011.654545454545,2.2574909090909077
549.873,151.82021637503766,111875,181465.33958932338,19654.303571428572,2.3234464285714274
549.974,151.019873703363,111875,181452.55966827527,19309.491228070176,2.5867894736842105
550.673,151.4524754678805,111875,181364.2409851219,18976.56896551724,2.543068965517242
552.49,151.73106775295577,111875,181135.70843092186,18654.932203389828,2.49993220338983
582.489,148.6540498610017,111875,177568.6848610017,18344.016666666663,2.4582833333333323
612.49,145.91032110123447,111875,174350.87519959515,18043.295081967215,2.417967213114754
642.49,143.45183282380702,111875,171433.668307678,17752.27419354839,2.3789677419354835
672.491,141.23904080839418,111875,168776.6519195053,17470.492063492064,2.341190476190476
702.492,139.23931071425017,111875,166346.5794642502,17197.515625,2.3045937500000004
732.493,137.4253981574684,111875,164115.5658497761,16932.938461538462,2.269123076923076
762.494,135.7744085776731,111875,162060.11463827916,16676.378787878788,2.2347272727272722
802.495,132.4776679299253,111875,159558.59778067158,17615.089552238805,2.2013582089552237
830.946,133.9673052182021,191445,160650.36551231975,17356.044117647056,2.169073529411764
842.496,134.7766242397849,191445,161072.53728326314,17104.507246376812,2.137536231884058
882.497,136.52903619925058,191445,162449.23191353632,16860.15714285714,2.106985714285713
922.498,138.15147317621273,191445,163706.53514804374,16622.69014084507,2.077295774647885
952.499,139.38014678999232,191445,164580.21762332565,16391.819444444445,2.0484305555555533
982.5,140.54573818568795,191445,165400.54366514,16167.27397260274,2.0203561643835597
1012.5,141.65330153051724,191445,166172.23126024698,15948.797297297297,1.9930540540540522
1042.501,142.70757539229865,191445,166899.52872563197,15736.146666666666,1.9664666666666655
1072.502,143.71255536158986,191445,167586.13694053722,15529.092105263158,1.94057894736842
1112.503,144.88052361426935,191445,168444.00283504857,15327.415584415585,1.9153636363636355
1152.504,145.98099106751647,191445,169242.31927264464,15130.910256410258,1.8907948717948715
1182.505,146.8387906252598,191445,169805.61720753828,14939.379746835444,1.86684810126582
1212.506,147.66135231423604,191445,170341.03981423602,14752.6375,1.8434999999999973
1242.506,148.45089835421822,191445,170850.5897122429,14570.506172839505,1.820740740740738
1272.507,149.2096576464959,191445,171336.12959771542,14392.817073170732,1.7985243902439
1301.133,149.91875700777067,191445,171778.54134512003,14219.409638554216,1.7768313253012031
1302.508,150.19975354485717,191445,171799.30235438098,14050.130952380952,1.7556785714285696
