real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
1319.455,579.911,144p,394,9.45399999999995,128
1320.001,579.911,144p,394,0.5460000000000491,128
1910.001,579.911,144p,394,590.0000000000001,64
1940.001,579.911,144p,394,30.0,128
2000.001,579.911,144p,394,60.0,192
2030.001,579.911,144p,394,30.0,192
2090.001,579.911,144p,394,60.0,192
2108.76,579.911,144p,394,18.759000000000015,192
2110.001,579.911,144p,394,1.2409999999999854,192
2126.895,589.901,144p,394,6.903999999999996,192
2128.675,589.982,144p,394,1.6990000000000691,192
2129.426,590.657,144p,394,0.07599999999956708,192
2130.001,591.232,144p,394,4.547473508864641e-13,192
2160.001,621.233,144p,394,0,256
2190.001,651.234,144p,394,0,256
2220.001,681.235,144p,394,0,256
2250.001,711.237,144p,394,0,256
2280.001,741.238,144p,394,0,256
2310.001,771.239,144p,394,0,256
2340.001,801.24,144p,394,0,256
2370.001,831.242,144p,394,0,256
2400.001,861.243,144p,394,0,192
2430.001,891.244,144p,394,0,192
2460.001,921.245,144p,394,0,192
2490.001,951.247,144p,394,0,192
2520.001,981.248,144p,394,0,192
2550.001,1011.249,144p,394,0,192
2580.001,1041.25,144p,394,0,192
2610.001,1071.252,144p,394,0,192
2640.001,1101.253,144p,394,0,128
2670.001,1131.254,144p,394,0,128
2700.001,1161.255,144p,394,0,128
2730.001,1191.256,144p,394,0,128
2760.001,1221.258,144p,394,0,128
2790.001,1251.259,144p,394,0,128
2820.001,1281.26,144p,394,0,128
2850.001,1311.261,144p,394,0,128
2880.001,1341.263,144p,394,0,64
2910.001,1371.264,144p,394,0,64
2950.001,1411.266,144p,394,0,64
2980.001,1441.267,144p,394,0,64
3010.001,1471.268,144p,394,0,64
3040.001,1501.269,144p,394,0,64
3070.001,1531.27,144p,394,0,64
3100.001,1561.272,144p,394,0,64
3130.001,1591.273,144p,394,0,128
3160.001,1621.274,144p,394,0,128
3190.001,1651.276,144p,394,0,128
3220.001,1681.277,144p,394,0,128
3250.001,1711.278,144p,394,0,128
3280.001,1741.279,144p,394,0,128
3340.001,1801.281,144p,394,0,128
3370.001,1831.283,144p,394,0,192
3400.001,1861.286,144p,394,0,192
3430.001,1891.285,144p,394,0.0009999999999763531,192
3460.001,1921.286,144p,394,0,192
3490.001,1951.288,144p,394,0,192
3520.001,1981.289,144p,394,0,192
3550.001,2011.29,144p,394,0,192
3580.001,2041.291,144p,394,0,192
3610.001,2071.293,144p,394,0,256
3640.001,2101.294,144p,394,0,256
3670.001,2131.295,144p,394,0,256
3700.001,2161.296,144p,394,0,256
3730.001,2191.298,144p,394,0,256
3760.001,2221.299,144p,394,0,256
3790.001,2251.3,144p,394,0,256
3869.867,2331.169,144p,394,0,192
3870.001,2331.303,144p,394,0.0,192
3900.001,2361.305,144p,394,0,192
3930.001,2391.306,144p,394,0,192
3960.001,2421.307,144p,394,0,192
3990.001,2451.308,144p,394,0,192
4020.001,2481.309,144p,394,0,192
4050.001,2511.311,144p,394,0,192
4080.001,2541.312,144p,394,0,128
4110.001,2571.313,144p,394,0,128
4113.241,2574.546,144p,394,0.007000000000061846,128
4120.001,2574.546,144p,394,6.760000000000218,128
4126.648,2574.546,144p,394,6.6469999999999345,128
4130.001,2574.546,144p,394,3.3530000000000655,128
4139.253,2574.546,144p,394,9.251999999999498,128
4140.001,2574.546,144p,394,0.748000000000502,128
4157.256,2574.546,144p,394,17.25500000000011,128
4160.001,2574.546,144p,394,2.744999999999891,128
4173.46,2574.546,144p,394,13.458999999999833,128
4180.001,2574.546,144p,394,6.541000000000167,128
4187.863,2574.546,144p,394,7.86200000000008,128
4190.001,2574.546,144p,394,2.13799999999992,128
4220.001,2574.546,144p,394,30.0,128
4247.647,2574.628,144p,394,27.563999999999396,128
4248.398,2574.642,144p,394,0.7370000000005348,128
4249.351,2574.642,144p,394,0.9529999999995198,128
4249.985,2574.71,144p,394,0.5659999999998035,128
4250.001,2574.728,144p,394,0,128
4250.735,2575.463,144p,394,0,128
4260.001,2584.729,144p,394,9.094947017729282e-13,128
4290.001,2614.73,144p,394,0,128
4299.911,2624.64,144p,394,0,128
