real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
11.776,0.0,480p,397,11.776,64
15.018,0.0,480p,397,3.242000000000001,64
20.001,0.0,480p,397,4.9830000000000005,64
21.033,0.0,480p,397,1.032,64
26.188,0.0,480p,397,5.154999999999998,64
26.193,0.0,480p,397,0.005000000000002558,64
30.001,0.0,480p,397,3.808,64
50.001,0.0,480p,397,19.999999999999996,64
60.01,0.0,480p,397,10.009,64
62.105,0.0,144p,394,2.094999999999999,64
87.015,0.003,144p,394,24.907000000000004,64
87.765,0.023,144p,394,0.730000000000004,64
88.762,0.023,144p,394,0.9969999999999999,64
89.303,0.028,144p,394,0.5359999999999872,64
90.001,0.729,144p,394,0,64
90.053,0.781,144p,394,0,64
96.89,7.617,144p,394,0.0010000000000047748,64
100.001,7.617,144p,394,3.111000000000004,64
101.037,7.704,144p,394,0.9490000000000123,64
101.787,8.377,144p,394,0.07699999999999818,64
109.45,16.038,144p,394,0.001999999999995339,64
110.001,16.038,144p,394,0.5510000000000019,64
131.2,16.112,144p,394,21.124999999999986,64
131.959,16.133,144p,394,0.7380000000000138,64
133.012,16.133,144p,394,1.0529999999999973,64
133.516,16.176,144p,394,0.4609999999999843,64
134.266,16.928,144p,394,0,64
140.001,22.662,144p,394,0.0010000000000047748,64
149.731,32.391,144p,394,0.0010000000000047748,64
150.001,32.391,144p,394,0.27000000000001023,64
154.566,32.391,144p,394,4.564999999999998,64
160.001,32.391,144p,394,5.435000000000002,64
256.409,32.391,144p,394,96.40799999999999,128
256.411,32.391,144p,394,0.0020000000000095497,128
260.001,32.391,144p,394,3.589999999999975,128
290.001,32.391,144p,394,29.99999999999997,128
314.017,32.391,144p,394,24.01600000000002,128
320.001,32.391,144p,394,5.9839999999999804,128
346.423,32.391,144p,394,26.422000000000025,128
350.001,32.391,144p,394,3.5779999999999745,128
380.001,32.391,144p,394,30.0,128
404.029,39.911,144p,394,16.508000000000038,128
404.088,39.986,144p,394,0,128
404.838,40.65,144p,394,0.08600000000001273,128
410.001,45.814,144p,394,0,128
413.278,49.089,144p,278,0.002000000000066393,128
416.599,49.089,144p,278,3.3209999999999695,128
430.091,49.174,144p,278,13.407000000000039,128
430.842,49.196,144p,278,0.7289999999999281,128
431.912,49.196,144p,278,1.07000000000005,128
432.415,49.246,144p,278,0.4530000000000314,128
433.166,49.997,144p,278,0,128
440.001,56.832,144p,278,0.0,128
469.277,86.11,144p,394,0,128
475.119,91.95,144p,394,0.002000000000066393,128
480.001,91.95,144p,394,4.881999999999948,192
499.531,92.038,144p,394,19.442000000000007,192
500.0,92.06,144p,394,0.44700000000000273,192
500.281,92.06,144p,394,0.2810000000000059,192
501.211,92.06,144p,394,0.9300000000000068,192
501.868,92.114,144p,394,0.6030000000000086,192
502.618,92.866,144p,394,0,192
510.001,100.249,144p,394,0,192
519.646,109.894,144p,394,0.0,192
520.001,109.894,144p,394,0.3550000000000182,192
589.682,109.894,144p,394,69.68100000000004,192
590.001,109.894,144p,394,0.31899999999996,192
611.286,109.894,144p,394,21.284999999999968,192
620.001,109.894,144p,394,8.715000000000032,192
647.291,109.894,144p,394,27.290000000000077,192
650.001,109.894,144p,394,2.7099999999999227,192
660.47,109.976,144p,394,10.387000000000057,192
661.22,109.998,144p,394,0.7279999999999518,192
662.212,109.998,144p,394,0.9919999999999618,192
662.896,110.149,144p,394,0.5330000000000155,192
663.646,110.901,144p,394,0,192
670.001,117.255,144p,394,0.0009999999999763531,192
672.636,119.89,144p,394,0.0,192
680.001,119.89,144p,394,7.365000000000009,192
685.85,119.985,144p,394,5.754000000000019,192
686.6,120.666,144p,394,0.06899999999995998,192
690.001,124.067,144p,394,0.0,192
694.3,128.365,144p,394,0.0009999999999763531,192
694.963,128.444,144p,394,0.58400000000006,192
695.713,129.116,144p,394,0.07799999999997453,192
700.001,133.404,144p,394,0.0,192
730.001,163.405,144p,394,0,256
760.001,193.407,144p,394,0,256
781.487,214.893,144p,394,0.0,256
785.101,214.963,144p,394,3.5440000000000964,256
785.851,215.637,144p,394,0.07599999999990814,256
790.001,219.787,144p,394,0.0,256
793.156,222.94,144p,394,0.0019999999999527063,256
800.001,222.94,144p,394,6.845000000000027,256
899.027,222.94,144p,394,99.02600000000007,256
900.0,222.94,144p,394,0.9729999999999563,256
913.43,222.94,144p,394,13.430000000000064,256
920.001,222.94,144p,394,6.570999999999913,256
927.833,222.94,144p,394,7.832000000000107,256
930.001,222.94,144p,394,2.1679999999998927,256
953.038,222.94,144p,394,23.037000000000035,256
960.001,222.94,144p,394,6.962999999999965,192
974.986,223.023,144p,394,14.902000000000044,192
975.736,223.043,144p,394,0.7300000000000182,192
976.656,223.043,144p,394,0.9199999999999591,192
977.406,223.187,144p,394,0.6059999999999945,192
978.156,223.939,144p,394,0,192
980.001,225.783,144p,394,0.0009999999999763531,192
990.699,236.48,144p,394,0.0009999999999763531,192
996.291,236.557,144p,394,5.5150000000001,192
997.041,237.228,144p,394,0.07900000000006457,192
1000.001,240.188,144p,394,0,192
1008.863,249.05,144p,394,1.1368683772161603e-13,192
1009.23,249.142,144p,394,0.2749999999998636,192
1009.98,249.818,144p,394,0.07400000000006912,192
1010.0,249.839,144p,394,0,192
1018.406,258.245,144p,394,0,192
1020.001,258.245,144p,394,1.5950000000000273,192
1029.055,258.319,144p,394,8.980000000000132,192
1029.806,259.003,144p,394,0.06700000000000728,192
1030.001,259.198,144p,394,0,192
1060.001,289.199,144p,394,0,192
1088.192,317.39,144p,394,1.1368683772161603e-13,192
1090.001,317.39,144p,394,1.808999999999969,192
1117.64,317.47,144p,394,27.559000000000083,192
1118.39,317.491,144p,394,0.7290000000000418,192
1119.311,317.491,144p,394,0.9209999999998217,192
1119.942,317.518,144p,394,0.6040000000000418,192
1120.001,317.578,144p,394,0,192
1120.692,318.271,144p,394,0,192
1125.255,322.834,144p,394,0.0,192
1128.088,325.665,144p,394,0.0019999999999527063,192
1130.001,325.665,144p,394,1.913000000000011,192
1139.659,325.665,144p,394,9.65800000000013,192
1140.001,325.665,144p,394,0.34199999999987085,192
1157.663,325.665,144p,394,17.662000000000035,192
1160.001,325.665,144p,394,2.3379999999999654,192
1172.066,325.665,144p,394,12.065000000000055,192
1180.0,325.665,144p,394,7.933999999999969,192
1212.988,339.913,144p,394,18.74000000000001,128
1220.001,339.913,144p,394,7.01299999999992,128
1270.001,376.679,144p,394,13.234000000000037,128
1310.001,416.68,144p,394,0,128
1340.001,446.681,144p,394,0,128
1370.001,476.683,144p,394,0,128
1400.001,506.684,144p,394,0,128
1439.197,545.88,144p,394,0,128
1440.001,545.88,144p,394,0.8040000000000873,64
1452.65,545.88,144p,394,12.649000000000115,64
1460.001,545.88,144p,394,7.350999999999885,64
1465.252,545.88,144p,394,5.250999999999976,64
1470.001,545.88,144p,394,4.749000000000024,64
1500.001,545.88,144p,394,30.0,64
1550.001,579.07,144p,394,16.809999999999945,64
1567.568,596.638,144p,394,0,64
1570.001,596.638,144p,394,2.4329999999999927,64
1620.001,631.675,144p,394,14.96300000000008,64
1650.001,661.676,144p,394,0,64
1680.001,691.677,144p,394,0,128
1705.903,717.578,144p,394,0.00100000000009004,128
1710.001,717.578,144p,394,4.097999999999956,128
1810.0,717.578,144p,278,99.99900000000002,128
1827.198,726.938,144p,278,7.838000000000193,128
1830.001,726.938,144p,278,2.8029999999998836,128
1838.512,727.029,144p,278,8.419999999999845,128
1839.263,727.712,144p,278,0.06799999999998363,128
1840.001,728.45,144p,278,0.0,128
1851.513,739.962,144p,278,0.0,128
1855.382,740.031,144p,278,3.800000000000182,128
1856.132,740.705,144p,278,0.07600000000002183,128
1860.001,744.573,144p,278,0.0009999999997489795,128
