protocol,tcp_bytes,Quic-bytes,real_time,
6,1430,,6.425252,
6,391,,6.427195,
6,574,,6.623526,
6,1430,,6.626509,
6,1430,,6.663145,
6,655,,6.692585,
6,218,,6.72414,
6,1430,,6.740722,
6,1430,,6.770512,
6,0,,6.893071,
6,64,,6.893078,
6,92,,6.893081,
6,266,,6.893084,
6,0,,6.897911,
6,31,,6.918462,
6,0,,6.935554,
6,0,,6.935585,
6,0,,6.935687,
6,608,,6.936073,
6,1430,,6.936833,
6,1430,,6.936958,
6,391,,6.936962,
6,0,,6.955402,
6,0,,6.955411,
6,64,,6.955414,
6,0,,6.981325,
6,0,,6.998893,
6,608,,6.999404,
6,1430,,7.00721,
6,1430,,7.009242,
6,1430,,7.009372,
6,1430,,7.017418,
6,31,,7.05033,
6,388,,7.146278,
6,1430,,7.14661,
6,1430,,7.148198,
6,853,,7.148213,
6,1430,,7.221425,
6,1430,,7.222204,
6,1430,,7.222334,
6,1430,,7.225316,
6,1430,,7.225431,
6,1430,,7.228411,
6,1430,,7.228543,
6,1430,,7.23151,
6,1430,,7.231624,
6,1430,,7.234639,
6,1430,,7.234661,
6,927,,7.237655,
17,,1358,7.325374,
6,0,,7.414262,
17,,1358,7.414274,
6,1430,,7.428595,
6,1430,,7.440178,
6,1430,,7.44221,
6,1430,,7.458627,
6,24,,7.511055,
6,0,,7.595853,
6,1430,,7.641528,
6,1430,,7.641549,
6,1430,,7.641751,
6,949,,7.64176,
6,24,,7.673673,
6,0,,7.673699,
6,1430,,7.778886,
6,1430,,7.824696,
6,39,,8.014745,
6,608,,8.020635,
6,0,,8.099672,
6,0,,8.099681,
6,266,,8.099685,
6,1266,,8.10189,
6,0,,8.101896,
6,0,,8.105437,
6,0,,8.124011,
6,0,,8.124022,
6,64,,8.124026,
6,92,,8.124029,
6,252,,8.124032,
6,0,,8.125259,
6,0,,8.127917,
6,0,,8.143308,
6,1430,,8.149938,
6,31,,8.150437,
6,1430,,8.169174,
6,0,,8.169421,
6,0,,8.16943,
6,0,,8.169432,
6,608,,8.169957,
6,520,,8.210801,
6,486,,8.210834,
6,0,,8.21216,
6,31,,8.212623,
6,39,,8.212632,
6,0,,8.225865,
6,953,,8.237987,
6,1430,,8.251756,
6,0,,8.366684,
6,1430,,8.392588,
6,1430,,8.39462,
6,1430,,8.394736,
6,1430,,8.402816,
6,1430,,8.40284,
6,1430,,8.410988,
6,1430,,8.410999,
6,0,,8.411163,
6,0,,8.41288,
6,1430,,8.419163,
6,1430,,8.419171,
6,1430,,8.427309,
6,1430,,8.427423,
6,1430,,8.435519,
6,1430,,8.439595,
6,1430,,8.439705,
6,1430,,8.44777,
6,1430,,8.447886,
6,1430,,8.455946,
6,1430,,8.456076,
6,1430,,8.464126,
6,1430,,8.464182,
6,1430,,8.472301,
6,1430,,8.472323,
6,1430,,8.480472,
6,1430,,8.480586,
6,0,,8.493983,
6,0,,8.516871,
6,1430,,8.51986,
6,1430,,8.521908,
6,1430,,8.521918,
6,0,,8.528932,
6,1430,,8.530058,
6,1430,,8.542718,
6,24,,8.553232,
6,1430,,8.574123,
6,1430,,8.577812,
6,1430,,8.577831,
6,950,,8.592492,
6,0,,8.603648,
6,0,,8.603655,
6,64,,8.603658,
6,0,,8.644185,
6,0,,8.644197,
6,64,,8.6442,
6,0,,8.647104,
6,0,,8.689037,
6,0,,8.909924,
6,313,,8.909936,
6,0,,8.935575,
6,1430,,8.955587,
6,1430,,8.959248,
6,1430,,8.959381,
6,950,,8.973904,
6,0,,9.007548,
6,1027,,9.028361,
6,0,,9.037526,
6,0,,9.165526,
6,0,,9.204639,
6,0,,9.20627,
6,39,,9.246595,
6,0,,9.308888,
6,0,,9.309268,
6,147,,9.309426,
6,0,,9.309716,
6,0,,9.309774,
6,0,,9.309874,
6,0,,9.310006,
6,0,,9.310124,
6,147,,9.310225,
6,0,,9.310589,
6,36,,9.310633,
6,66,,9.310999,
6,87,,9.311343,
6,0,,9.311757,
6,0,,9.312062,
6,0,,9.312834,
6,0,,9.313077,
6,147,,9.313195,
6,0,,9.313406,
6,0,,9.313409,
6,0,,9.313469,
6,0,,9.313606,
6,0,,9.313755,
6,147,,9.313869,
6,0,,9.314156,
6,36,,9.314168,
6,66,,9.314525,
6,108,,9.314819,
6,0,,9.35426,
6,608,,9.361033,
6,0,,9.412061,
6,53,,9.412458,
6,0,,9.421283,
6,0,,9.42546,
6,0,,9.425466,
6,0,,9.42547,
6,64,,9.425473,
6,517,,9.425476,
6,517,,9.425486,
6,0,,9.427974,
6,0,,9.428004,
6,0,,9.428009,
6,0,,9.428015,
6,0,,9.428019,
6,1430,,9.453871,
6,1430,,9.454296,
6,0,,9.466825,
6,0,,9.467639,
6,0,,9.47083,
6,608,,9.471465,
6,0,,9.499916,
6,1430,,9.527093,
6,1430,,9.527893,
6,0,,9.543139,
6,0,,9.557157,
6,0,,9.626397,
6,0,,9.626406,
6,0,,9.62641,
6,0,,9.626413,
6,0,,9.648536,
6,1430,,9.652692,
6,0,,9.653581,
6,0,,9.657957,
6,0,,9.662132,
6,0,,9.662139,
6,0,,9.662142,
1,17,,1358,9.675263
1,17,,1358,9.677357
1,17,,1358,9.679435
1,17,,1358,9.682667
1,17,,376,9.682677
6,353,,9.682683,
6,0,,9.682687,
6,0,,9.68269,
6,0,,9.708431,
6,0,,9.743928,
6,0,,9.743934,
6,0,,9.743938,
6,0,,9.743941,
1,17,,1358,9.743946
6,0,,9.743955,
6,0,,9.74396,
6,0,,9.763717,
6,853,,9.770132,
6,0,,9.772771,
6,0,,9.788449,
6,0,,9.794978,
6,0,,9.794998,
6,0,,9.795002,
6,0,,9.806688,
6,0,,9.814807,
6,0,,9.821904,
6,0,,9.830095,
6,0,,9.838113,
6,0,,9.841327,
6,0,,9.841336,
6,0,,9.84134,
6,0,,9.841343,
6,0,,9.846535,
6,0,,9.846543,
6,0,,9.846546,
6,0,,9.846549,
6,0,,9.846552,
6,31,,9.846557,
6,0,,9.846561,
6,0,,9.846564,
6,1430,,9.867221,
6,108,,9.867236,
6,0,,9.872376,
6,1430,,9.872845,
6,1430,,9.873614,
6,1430,,9.875171,
6,0,,9.932819,
6,0,,9.932829,
6,0,,9.948141,
6,0,,9.948152,
6,39,,9.948155,
6,1430,,9.974025,
6,0,,9.974046,
6,0,,9.977693,
6,0,,10.035481,
6,107,,10.070197,
6,0,,10.094424,
6,608,,10.146755,
6,0,,10.152425,
6,0,,10.152432,
6,0,,10.17114,
6,31,,10.171151,
6,0,,10.173128,
6,0,,10.188206,
6,0,,10.188212,
6,0,,10.197124,
6,0,,10.283431,
6,1430,,10.351186,
6,0,,10.35742,
6,0,,10.417644,
6,353,,10.417654,
6,0,,10.443318,
6,0,,10.48963,
6,0,,10.493583,
6,0,,10.493589,
6,1430,,10.586542,
6,1430,,10.589339,
6,0,,10.636778,
6,0,,10.636788,
6,0,,10.636791,
6,1430,,10.663168,
6,1430,,10.663921,
6,1430,,10.665477,
6,0,,10.748653,
6,0,,10.74866,
6,0,,10.748663,
6,0,,10.754792,
6,0,,10.759898,
6,0,,10.759904,
6,0,,10.759907,
6,0,,10.761973,
6,0,,10.774168,
6,0,,10.774173,
6,1430,,10.786196,
6,0,,10.786259,
6,1430,,10.786963,
6,0,,10.788181,
6,1430,,10.788505,
6,0,,10.792654,
6,1430,,10.800426,
6,1430,,10.80118,
6,927,,10.812559,
6,1430,,10.814474,
6,0,,11.336662,
6,0,,11.336672,
6,252,,11.336677,
6,64,,11.33668,
6,64,,11.336687,
6,0,,11.362473,
6,1430,,11.362949,
6,1430,,11.36372,
6,1430,,11.36526,
6,1430,,11.365391,
6,1430,,11.368372,
6,1430,,11.368487,
6,1430,,11.37147,
6,1430,,11.3716,
6,1430,,11.374584,
6,1430,,11.376139,
6,1430,,11.376241,
6,1430,,11.379235,
6,1430,,11.379366,
6,0,,11.381514,
6,0,,11.381544,
6,1430,,11.382336,
6,732,,11.382345,
6,0,,11.382346,
6,0,,11.752932,
6,0,,11.776978,
1,17,,1358,11.783014
6,0,,11.829221,
6,0,,11.891643,
6,0,,11.891651,
6,0,,11.895611,
6,0,,11.897828,
6,0,,11.960948,
6,0,,11.960955,
6,0,,12.017039,
6,0,,12.058149,
6,0,,12.085359,
6,0,,12.085371,
6,0,,12.085397,
6,0,,12.085402,
6,0,,12.099672,
6,0,,12.384196,
6,0,,12.494679,
6,0,,12.494692,
6,0,,12.494695,
6,0,,12.494697,
6,0,,12.494706,
6,31,,12.49471,
6,39,,12.494713,
6,35,,12.494717,
6,517,,12.494731,
6,0,,12.520416,
6,0,,12.520438,
6,0,,12.52044,
6,0,,12.536013,
6,0,,12.574482,
6,24,,12.673808,
6,517,,12.711652,
6,0,,12.71166,
6,0,,12.711664,
6,0,,12.723392,
6,0,,12.753788,
6,0,,12.755846,
6,0,,12.795464,
6,0,,12.798205,
6,0,,12.798212,
6,0,,12.806309,
6,0,,12.806315,
6,0,,12.814408,
6,1430,,12.824092,
6,0,,12.826771,
6,0,,12.826779,
6,0,,12.826782,
6,0,,12.829355,
6,1430,,12.832212,
6,1430,,12.832222,
6,0,,12.837462,
6,1430,,12.840324,
6,1430,,12.840409,
6,0,,12.840443,
6,0,,12.843671,
6,1430,,12.852748,
6,1430,,12.863345,
6,1430,,12.863462,
6,1430,,12.869586,
6,1430,,12.869702,
6,0,,12.880812,
6,0,,12.88612,
6,1430,,12.906696,
6,0,,13.024732,
6,0,,13.024742,
6,1430,,13.050631,
6,0,,13.069211,
6,0,,13.114075,
6,73,,13.136554,
6,1322,,13.139957,
6,0,,13.143459,
6,1430,,13.169354,
6,108,,13.169374,
6,0,,13.250662,
6,1430,,13.276584,
6,0,,13.337888,
6,1430,,13.363806,
6,1430,,13.363856,
6,73,,13.400598,
6,0,,13.403195,
6,1430,,13.594554,
6,1430,,13.597337,
