real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.023,0.0,360p,396,0.023,1152
0.43,0.0,360p,396,0.407,1152
4.847,0.0,480p,397,4.417000000000001,1152
5.425,0.017,480p,397,0.560999999999999,1152
6.175,0.724,480p,397,0.04300000000000015,1152
10.001,4.551,480p,397,0,1152
40.001,34.552,480p,397,0,1152
70.001,64.553,480p,397,0,1152
100.001,94.554,480p,397,0,1152
130.001,124.555,480p,397,0,1152
160.001,154.557,480p,397,0,1152
200.001,194.558,480p,397,0,1152
230.001,224.559,480p,397,0,1152
260.001,254.561,480p,397,0,896
290.001,284.562,480p,397,0,896
320.001,314.563,480p,397,0,896
350.001,344.565,480p,397,0,896
380.001,374.566,480p,397,0,896
410.001,404.567,480p,397,0,896
440.001,434.568,480p,397,0,896
470.001,464.57,480p,397,0,896
500.001,494.57,480p,397,0.0,1152
530.001,524.572,480p,397,0,1152
560.001,554.573,480p,397,0,1152
590.001,584.574,480p,397,0,1152
620.001,614.575,480p,397,0,1152
650.001,644.577,480p,397,0,1152
680.001,674.578,480p,397,0,1152
710.001,704.579,480p,397,0,1152
740.001,734.58,480p,397,0,896
770.001,764.582,480p,397,0,896
800.001,794.583,480p,397,0,896
830.001,824.584,480p,397,0,896
860.001,854.586,480p,397,0,896
890.001,884.587,480p,397,0,896
920.001,914.588,480p,397,0,896
960.001,954.589,480p,397,0,1152
1000.001,994.591,480p,397,0,1152
1030.001,1024.592,480p,397,0,1152
1060.001,1054.593,480p,397,0,1152
1090.001,1084.595,480p,397,0,1152
1120.001,1114.596,480p,397,0,1152
1150.001,1144.597,480p,397,0,1152
1180.001,1174.598,480p,397,0,1152
1210.001,1204.6,480p,397,0,896
1240.001,1234.601,480p,397,0,896
1270.001,1264.263,480p,397,0.3380000000001928,896
1300.002,1294.266,480p,397,0,896
1340.001,1334.266,480p,397,0,896
1370.001,1364.267,480p,397,0,896
1400.001,1394.269,480p,397,0,896
1430.001,1424.27,480p,397,0,896
1460.001,1454.271,480p,397,0,1152
1490.001,1484.272,480p,397,0,1152
1520.001,1514.273,480p,397,0,1152
1550.001,1544.275,480p,397,0,1152
1580.001,1574.276,480p,397,0,1152
1610.001,1604.277,480p,397,0,1152
1640.001,1634.279,480p,397,0,1152
1670.001,1664.28,480p,397,0,1152
1700.001,1694.281,480p,397,0,896
1730.001,1724.282,480p,397,0,896
1760.001,1754.284,480p,397,0,896
1790.001,1784.285,480p,397,0,896
1820.001,1814.286,480p,397,0,896
1850.001,1844.287,480p,397,0,896
1880.001,1874.288,480p,397,0,896
1910.001,1904.289,480p,397,0,896
1940.001,1934.291,480p,397,0,1152
1970.001,1964.292,480p,397,0,1152
2000.001,1994.293,480p,397,0,1152
2030.001,2024.295,480p,397,0,1152
2060.001,2054.296,480p,397,0,1152
2090.001,2084.297,480p,397,0,1152
2120.001,2114.298,480p,397,0,1152
2150.001,2144.299,480p,397,0,1152
2180.001,2174.301,480p,397,0,896
2210.001,2204.302,480p,397,0,896
2240.001,2234.303,480p,397,0,896
2270.001,2264.304,480p,397,0,896
2300.001,2294.306,480p,397,0,896
2330.001,2324.307,480p,397,0,896
2360.001,2354.308,480p,397,0,896
2390.001,2384.309,480p,397,0,896
2420.001,2414.31,480p,397,0,1152
2450.001,2444.312,480p,397,0,1152
2480.001,2474.313,480p,397,0,1152
2510.001,2504.314,480p,397,0,1152
2540.002,2534.317,480p,397,0,1152
2580.001,2574.317,480p,397,0,1152
2610.001,2604.318,480p,397,0,1152
2640.001,2634.32,480p,397,0,896
2670.001,2664.321,480p,397,0,896
2700.001,2694.322,480p,397,0,896
2730.001,2724.323,480p,397,0,896
2760.001,2754.325,480p,397,0,896
2790.001,2784.326,480p,397,0,896
2820.001,2814.327,480p,397,0,896
2850.001,2844.328,480p,397,0,896
2880.001,2874.33,480p,397,0,1152
2910.001,2904.331,480p,397,0,1152
2940.001,2934.332,480p,397,0,1152
2970.001,2964.333,480p,397,0,1152
3000.001,2994.334,480p,397,0,1152
3030.001,3024.336,480p,397,0,1152
3060.001,3054.337,480p,397,0,1152
3090.001,3084.338,480p,397,0,1152
3120.001,3114.339,480p,397,0,896
3150.001,3144.34,480p,397,0,896
3180.001,3174.342,480p,397,0,896
3210.001,3204.343,480p,397,0,896
3308.7380000000003,3303.08,480p,397,0,896
