real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.028,0.0,480p,397,0.028,1152
0.643,0.0,480p,397,0.615,1152
6.732,0.018,480p,397,6.071000000000001,1152
7.482,0.701,480p,397,0.06700000000000017,1152
10.002,3.22,480p,397,0.0009999999999994458,1152
50.001,43.221,480p,397,0,1152
80.001,73.222,480p,397,0,1152
110.001,103.223,480p,397,0,1152
140.001,133.224,480p,397,0,1152
170.001,163.226,480p,397,0,1152
200.001,193.227,480p,397,0,1152
230.001,223.228,480p,397,0,1152
260.001,253.229,480p,397,0,896
290.001,283.231,480p,397,0,896
320.001,313.232,480p,397,0,896
350.001,343.233,480p,397,0,896
390.001,383.235,480p,397,0,896
420.001,413.236,480p,397,0,896
450.001,443.237,480p,397,0,896
480.001,473.238,480p,397,0,1152
510.001,503.24,480p,397,0,1152
540.001,533.241,480p,397,0,1152
570.001,563.242,480p,397,0,1152
600.001,593.243,480p,397,0,1152
630.001,623.244,480p,397,0,1152
660.001,653.246,480p,397,0,1152
690.001,683.247,480p,397,0,1152
720.001,713.248,480p,397,0,896
750.001,743.249,480p,397,0,896
780.001,773.25,480p,397,0,896
810.001,803.252,480p,397,0,896
840.001,833.253,480p,397,0,896
870.001,863.255,480p,397,0,896
900.001,893.256,480p,397,0,896
930.001,923.257,480p,397,0,896
960.001,953.258,480p,397,0,1152
990.001,983.259,480p,397,0,1152
1020.001,1013.26,480p,397,0,1152
1050.001,1043.262,480p,397,0,1152
1080.001,1073.263,480p,397,0,1152
1110.001,1103.264,480p,397,0,1152
1140.001,1133.265,480p,397,0,1152
1170.001,1163.267,480p,397,0,1152
1200.001,1193.268,480p,397,0,896
1230.001,1223.269,480p,397,0,896
1260.002,1253.271,480p,397,0,896
1300.001,1293.272,480p,397,0,896
1330.001,1323.273,480p,397,0,896
1360.001,1353.274,480p,397,0,896
1390.001,1383.276,480p,397,0,896
1420.001,1413.277,480p,397,0,896
1450.001,1443.278,480p,397,0,1152
1480.001,1473.279,480p,397,0,1152
1510.001,1503.281,480p,397,0,1152
1540.001,1533.282,480p,397,0,1152
1570.001,1563.283,480p,397,0,1152
1600.001,1593.284,480p,397,0,1152
1630.001,1623.285,480p,397,0,1152
1660.001,1653.287,480p,397,0,1152
1690.001,1683.288,480p,397,0,896
1720.001,1713.289,480p,397,0,896
1750.001,1743.291,480p,397,0,896
1780.001,1773.292,480p,397,0,896
1810.001,1803.293,480p,397,0,896
1840.001,1833.294,480p,397,0,896
1870.001,1863.295,480p,397,0,896
1900.001,1893.297,480p,397,0,896
1930.001,1923.298,480p,397,0,1152
1960.001,1953.299,480p,397,0,1152
1990.001,1983.3,480p,397,0,1152
2020.001,2013.302,480p,397,0,1152
2050.001,2043.303,480p,397,0,1152
2080.001,2073.304,480p,397,0,1152
2110.001,2103.305,480p,397,0,1152
2140.001,2133.307,480p,397,0,1152
2170.001,2163.308,480p,397,0,896
2200.001,2193.309,480p,397,0,896
2230.001,2223.311,480p,397,0,896
2260.001,2253.312,480p,397,0,896
2290.001,2283.313,480p,397,0,896
2320.001,2313.314,480p,397,0,896
2350.001,2343.315,480p,397,0,896
2380.001,2373.316,480p,397,0,896
2410.001,2403.318,480p,397,0,1152
2440.001,2433.319,480p,397,0,1152
2470.001,2463.32,480p,397,0,1152
2500.001,2493.321,480p,397,0,1152
2530.001,2523.323,480p,397,0,1152
2631.318,2624.64,480p,397,0,1152
