real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.015,15.316574999999993,87195,87195.0,48559.16666666667,5.423083333333334
0.698,20.823192307692306,87195,87195.0,44823.846153846156,5.011153846153847
4.834,25.56403571428572,87195,87195.0,41622.142857142855,4.653214285714285
16.951,29.67047333333333,87195,87195.0,38847.333333333336,4.343533333333333
16.951,31.149350000000002,87195,87195.0,36419.375,4.5642499999999995
17.043,33.13617058823529,87195,87195.0,34277.05882352941,4.600411764705882
17.735,36.12343333333334,87195,87195.0,32372.777777777774,4.3485555555555555
21.705,38.8114105263158,87195,87195.0,30668.947368421053,4.119684210526316
39.913,41.23016,87195,87195.0,29135.5,3.9137999999999997
39.913,43.052438095238095,87195,87195.0,27748.095238095237,3.812666666666667
39.913,39.37216818181818,87195,87195.0,26486.81818181818,4.9618636363636375
39.913,41.28222608695651,87195,87195.0,25335.217391304348,4.785478260869566
39.989,42.26807083333334,87195,87195.0,24279.583333333332,4.801708333333334
40.01,43.93976,87195,87195.0,23308.4,4.638800000000001
40.01,45.44349615384615,87195,87195.0,22411.923076923078,4.497576923076924
40.194,46.90114074074073,87195,87195.0,21581.851851851854,4.35162962962963
40.946,48.3405142857143,87195,87195.0,20811.071428571428,4.196142857142857
42.486,49.680175862068964,87195,87195.0,20093.44827586207,4.051482758620691
59.91,6.128109999999992,87195,87194.99999999999,19423.666666666664,14.335633333333332
59.91,7.94586774193548,87195,87194.99999999999,18797.096774193546,14.058612903225807
59.91,9.851040625000003,87195,87194.99999999999,18209.6875,13.752156249999999
59.91,0.46752424242424695,87195,87194.99999999999,17657.878787878788,16.06269696969697
59.91,2.643347058823508,87195,87194.99999999999,17138.529411764706,15.677470588235295
59.91,4.194808571428553,87195,87194.99999999999,16648.85714285714,15.430542857142857
59.91,2.917036111111102,87195,87194.99999999999,16186.388888888889,15.835249999999998
59.91,4.908345945945925,87195,87194.99999999999,15748.918918918918,15.473891891891894
59.91,6.221139473684218,87195,87194.99999999999,15334.473684210525,15.264973684210526
59.91,-29.189787179487183,87195,87194.99999999999,14941.282051282049,23.59151282051282
59.91,-29.505167500000013,87195,87194.99999999999,14567.749999999998,23.751725
59.91,-29.80516341463415,87195,87194.99999999999,14212.439024390244,23.904121951219512
59.91,-30.090873809523842,87195,87194.99999999999,13874.047619047618,24.04926190476191
59.91,-30.363295348837227,87195,87194.99999999999,13551.395348837208,24.1876511627907
59.91,-30.623334090909097,87195,87194.99999999999,13243.40909090909,24.31975
59.91,-30.871815555555557,87195,87194.99999999999,12949.11111111111,24.445977777777774
59.91,-31.109493478260873,87195,87194.99999999999,12667.608695652172,24.566717391304348
59.91,-29.104808510638307,87195,87194.99999999999,12398.085106382978,24.163191489361704
59.91,-27.075972916666686,87195,87194.99999999999,12139.791666666666,23.7514375
59.981,-25.80188775510203,87195,87195.0,11892.040816326531,23.512755102040813
60.003,-23.60455799999997,87195,87195.0,11654.199999999999,23.057059999999996
60.003,-21.516752941176478,87195,87195.0,11425.686274509804,22.62466666666667
60.025,-19.469142307692294,87195,87195.0,11205.961538461539,22.199576923076922
60.778,-17.456449056603788,87195,87195.0,10994.528301886794,21.78067924528302
65.603,-15.518459259259245,87195,87195.0,10790.925925925925,21.377333333333333
69.896,-13.651019999999988,87195,87195.00000000001,10594.727272727272,20.98867272727273
69.977,-12.138374999999982,87195,87195.0,10405.535714285714,20.680892857142855
70.64,-10.40224736842103,87195,87195.00000000001,10222.982456140351,20.31959649122807
71.761,-8.719610344827572,87195,87195.00000000001,10046.724137931034,19.96927586206897
82.898,-7.094011864406781,87195,87195.00000000001,9876.440677966102,19.630830508474578
82.98,-5.727709999999988,87195,87195.0,9711.833333333334,19.351366666666667
83.646,-4.2103081967213285,87195,87195.0,9552.622950819672,19.035508196721317
88.813,-2.736029032258031,87195,87195.00000000001,9398.548387096775,18.72848387096774
89.9,-1.308620634920615,87195,87195.0,9249.36507936508,18.43122222222222
89.981,0.02688125000000241,87195,87195.0,9104.84375,18.15425
90.66,1.3632323076923143,87195,87195.0,8964.76923076923,17.876046153846154
98.036,2.663713636363667,87195,87195.00000000001,8828.939393939396,17.60519696969697
128.037,3.9254388059701597,87195,87195.00000000001,8697.164179104477,17.34241791044776
158.038,5.150054411764714,87195,87195.0,8569.264705882353,17.087367647058823
188.04,6.3392362318840725,87195,87195.00000000001,8445.072463768116,16.839695652173916
218.041,7.4943799999999925,87195,87195.0,8324.428571428572,16.599114285714286
245.888,5.433349295774633,87195,87195.0,8207.18309859155,17.105690140845073
245.888,5.99637083333333,87195,87195.0,8093.194444444444,17.00126388888889
245.888,6.08263013698631,87195,87195.0,7982.328767123287,17.006986301369864
245.888,7.028766216216212,87195,87195.0,7874.45945945946,16.81204054054054
245.888,7.419854666666637,87195,87195.0,7769.466666666668,16.74550666666667
245.888,8.006824999999992,87195,87195.0,7667.236842105264,16.632776315789478
279.282,8.666336363636375,87195,87195.0,7567.662337662337,16.502558441558442
281.289,9.673058974358966,87195,87195.0,7470.641025641026,16.291
281.289,10.219341772151878,87195,87195.0,7376.075949367089,16.18594936708861
313.896,10.24666375000001,87195,87195.0,7283.875,16.201037499999998
343.897,11.196696296296295,87195,87195.0,7193.950617283951,16.001012345679012
354.643,12.123504878048777,87195,87195.0,7106.219512195123,15.805878048780489
354.643,12.548556626506013,87195,87195.0,7020.602409638555,15.726939759036147
379.898,7.338576190476175,87195,87195.0,6937.02380952381,16.958000000000002
379.898,7.9943141176470505,87195,87195.0,6855.411764705882,16.824482352941178
