real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.018,0.0,480p,397,0.018,64
5.446,0.0,480p,397,5.428,64
337.607,29.903,144p,394,302.258,128
340.001,29.903,144p,394,2.3939999999999486,128
368.212,29.903,144p,394,28.211000000000013,128
370.001,29.903,144p,394,1.7889999999999873,128
400.001,29.903,144p,394,30.0,128
427.619,29.903,144p,394,27.618000000000052,128
430.001,29.903,144p,394,2.381999999999948,128
458.223,29.903,240p,395,28.222000000000037,128
458.224,29.903,240p,395,0.0009999999999763531,128
610.001,29.903,240p,395,151.777,192
640.001,29.903,240p,395,30.0,192
670.001,29.903,240p,395,30.0,192
686.86,29.903,240p,395,16.859000000000037,192
690.001,29.903,240p,395,3.1409999999999627,192
710.707,29.983,240p,395,20.62600000000009,192
711.457,30.002,240p,395,0.7309999999999945,192
712.352,30.002,240p,395,0.8949999999999818,192
713.102,30.125,240p,395,0.6269999999999527,192
713.852,30.878,240p,395,0,192
720.001,37.024,240p,395,0.0030000000000427463,256
750.001,67.026,240p,395,0,256
780.001,97.027,240p,395,0,256
782.127,99.152,240p,395,0.0009999999999763531,256
790.001,99.152,240p,395,7.874000000000024,256
910.001,99.152,240p,395,120.0,256
913.31,99.152,240p,395,3.308999999999969,256
920.001,99.152,240p,395,6.691000000000031,256
922.933,99.152,240p,242,2.9320000000000164,256
952.28,99.152,240p,242,29.34699999999998,256
960.001,99.152,240p,242,7.721000000000004,192
978.63,99.221,240p,242,18.56000000000006,192
979.38,99.244,240p,242,0.7269999999999754,192
980.001,99.244,240p,242,0.6209999999999809,192
980.377,99.244,240p,242,0.37599999999997635,192
981.126,99.461,240p,242,0.5320000000000391,192
981.877,100.213,240p,242,0,192
990.001,108.336,240p,242,0.0009999999999763531,192
1020.001,138.337,240p,242,0,192
1050.001,168.339,240p,242,0,192
1057.348,175.685,240p,242,0.0009999999999763531,192
1060.001,175.685,240p,242,2.65300000000002,192
1083.238,175.685,240p,242,23.23700000000008,192
1090.001,175.685,240p,242,6.76299999999992,192
1120.001,175.685,240p,242,30.0,192
1133.568,184.286,240p,242,4.9659999999998945,192
1139.438,184.286,240p,242,5.870000000000118,192
1140.001,184.286,240p,242,0.5629999999998745,192
1162.049,184.286,240p,242,22.048000000000002,192
1170.001,184.286,240p,242,7.951999999999998,192
1199.007,199.91,240p,242,13.382000000000176,192
1200.001,199.91,240p,242,0.9939999999999145,128
1214.969,199.91,240p,242,14.968000000000075,128
1220.001,199.91,240p,242,5.031999999999925,128
1247.1,199.99,240p,242,27.01899999999989,128
1247.85,200.012,240p,242,0.7280000000000655,128
1248.782,200.012,240p,242,0.9320000000000164,128
1249.506,200.141,240p,242,0.5950000000000273,128
1250.001,200.637,240p,242,0,128
1250.256,200.892,240p,242,0.0,128
1260.001,210.637,240p,242,0.0,128
1269.276,219.912,240p,242,0.0,128
1270.001,219.912,240p,242,0.724999999999909,128
1270.44,219.982,240p,242,0.3690000000001419,128
1271.19,220.644,240p,242,0.08799999999996544,128
1280.001,229.455,240p,242,0.0,128
1281.841,231.293,240p,242,0.0019999999997253326,128
1290.001,231.293,240p,242,8.16000000000031,128
1308.751,231.385,240p,242,18.6579999999999,128
1309.501,231.407,240p,242,0.7280000000000655,128
1310.001,231.407,240p,242,0.5,128
1310.382,231.407,240p,242,0.3810000000000855,128
1311.09,231.468,240p,242,0.6469999999997071,128
1311.84,232.22,240p,242,0,128
1320.001,240.381,240p,242,0.0,128
1348.668,269.047,240p,242,0.0009999999999763531,128
1350.001,269.047,240p,242,1.3330000000000837,128
1378.756,269.047,240p,242,28.75500000000011,128
1380.001,269.047,240p,242,1.2449999999998909,128
1416.351,277.902,240p,242,27.49500000000012,128
1420.001,277.902,240p,242,3.6499999999998636,128
1427.949,277.982,240p,242,7.8680000000001655,128
1428.699,278.665,240p,242,0.06700000000000728,128
1430.001,279.966,240p,242,0.0009999999997489795,128
1439.999,289.965,240p,242,0,128
1440.001,289.965,240p,242,0.0019999999999527063,64
1462.808,289.965,240p,242,22.807000000000016,64
1470.001,289.965,240p,242,7.192999999999984,64
1488.795,290.058,240p,242,18.701000000000022,64
