real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
1110.001,581.872,144p,394,3.216999999999871,192
1119.124,581.872,144p,394,9.123000000000047,192
1120.0,581.872,144p,394,0.8759999999999764,192
1137.127,581.872,144p,394,17.126999999999953,192
1140.001,581.872,144p,394,2.8740000000000236,192
1164.132,581.872,144p,278,24.131000000000085,192
1164.133,581.872,144p,278,0.0009999999999763531,192
1200.001,581.872,144p,278,35.86799999999994,128
1214.387,589.801,144p,278,6.45699999999988,128
1214.487,589.899,144p,278,0.00200000000018008,128
1220.001,589.899,144p,278,5.513999999999896,128
1225.731,589.983,144p,278,5.646000000000072,128
1226.481,590.666,144p,278,0.06699999999989359,128
1230.001,594.186,144p,278,0.0,128
1235.504,599.689,144p,278,0.0,128
1240.001,599.689,144p,278,4.497000000000071,128
1247.628,599.777,144p,278,7.538999999999874,128
1248.378,600.459,144p,278,0.06800000000009732,128
1250.001,602.082,144p,278,0.0,128
1280.001,632.083,144p,278,0,128
1310.001,662.084,144p,278,0,128
1340.001,692.085,144p,278,0,128
1345.007,697.092,144p,278,0,128
1350.001,697.092,144p,278,4.9939999999999145,128
1569.149,724.963,144p,278,191.27699999999993,64
1570.001,724.963,144p,278,0.8520000000000891,64
1585.352,724.963,144p,278,15.351000000000113,64
1590.0,724.963,144p,278,4.647999999999911,64
1620.001,724.963,144p,278,30.000999999999976,64
1644.438,744.14,144p,394,0.0,64
1644.438,744.14,144p,394,5.260000000000105,64
1645.664,745.366,144p,394,0,64
1650.001,745.366,144p,394,4.336999999999989,64
1657.041,745.366,144p,278,7.039999999999964,64
1657.042,745.366,144p,278,0.0009999999999763531,64
2170.001,745.366,144p,278,512.9590000000003,128
2200.001,745.366,144p,278,30.0,192
2230.001,745.366,144p,278,30.0,256
2260.001,745.366,144p,278,30.0,256
2290.001,745.366,144p,278,30.0,256
2320.001,745.366,144p,278,30.0,256
2350.001,745.366,144p,278,30.0,256
2380.001,745.366,144p,278,30.0,256
2410.001,745.366,144p,278,30.0,192
2419.566,745.366,144p,278,9.5649999999996,192
2420.001,745.366,144p,278,0.4350000000004002,192
2480.001,776.823,144p,278,28.54300000000012,192
2510.001,806.824,144p,278,0,192
2540.001,836.825,144p,278,0,192
2570.001,866.827,144p,278,0,192
2594.142,890.968,144p,278,0,192
2600.001,890.968,144p,278,5.859000000000378,192
2648.329,901.518,144p,278,37.77799999999979,128
2650.001,901.518,144p,278,1.6720000000000255,128
2671.733,901.518,144p,278,21.73199999999997,128
2680.001,901.518,144p,278,8.268000000000029,128
2687.608,901.607,144p,278,7.518000000000029,128
2688.358,901.628,144p,278,0.7289999999998145,128
2689.403,901.628,144p,278,1.044999999999618,128
2689.906,901.646,144p,278,0.4850000000003547,128
2690.0,901.741,144p,278,0,128
2690.657,902.399,144p,278,0,128
2698.154,909.895,144p,278,0.0009999999997489795,128
2700.001,909.895,144p,278,1.8470000000002074,128
2770.001,954.869,144p,278,25.02599999999984,128
2800.001,984.87,144p,278,0,128
2812.694,997.563,144p,278,0,128
2819.321,997.646,144p,278,6.544000000000096,128
2820.001,998.244,144p,278,0.08200000000010732,128
2820.072,998.315,144p,278,0.0,128
2827.368,1005.611,144p,278,0.0,128
2830.001,1005.611,144p,278,2.6330000000002656,128
2863.748,1024.279,144p,278,15.078999999999724,128
2870.0,1024.279,144p,278,6.251999999999953,128
2914.496,1054.511,144p,278,14.264000000000124,64
2920.001,1054.511,144p,278,5.505000000000109,64
2960.001,1054.511,144p,278,40.0,64
2994.499,1069.909,144p,278,19.099999999999454,64
